Foot,Phase,Slope,Intervention,Max Flexion,Max Abduction,Max Adduction,Max Internal Rotation,Max External Rotation,,,,,,,,,,,,,
Left,P1,0,1,149.69,4.03,-4.28,17.67,N/A,,,,,,,,,,,,,
Left,P1,0,1,151.14,N/A,-5.21,9.61,N/A,,,,,,,,,,,,,
Left,P1,0,1,152.41,N/A,-5.59,12.83,N/A,,,,,,,,,,,,,
Left,P1,0,1,152.70,N/A,-4.97,11.66,N/A,,,,,,,,,,,,,
Left,P1,0,1,152.24,N/A,-5.53,11.60,N/A,,,,,,,,,,,,,
Left,P1,0,1,116.46,N/A,-5.17,N/A,-10.15,,,,,,,,,,,,,
Left,P1,0,1,122.91,N/A,-7.12,1.93,-10.98,,,,,,,,,,,,,
Left,P1,0,1,121.17,N/A,-10.92,2.03,-11.50,,,,,,,,,,,,,
Left,P1,0,1,123.49,N/A,-5.72,1.93,-18.68,,,,,,,,,,,,,
Left,P1,0,1,121.40,N/A,-9.43,1.37,-10.77,,,,,,,,,,,,,
Left,P1,0,1,137.65,2.06,-0.06,2.79,-4.33,,,,,,,,,,,,,
Left,P1,0,1,139.56,2.14,N/A,3.82,-0.08,,,,,,,,,,,,,
Left,P1,0,1,141.47,0.00,-1.21,3.63,N/A,,,,,,,,,,,,,
Left,P1,0,1,141.83,0.56,-0.89,2.98,-0.45,,,,,,,,,,,,,
Left,P1,0,1,141.54,1.00,-0.12,2.76,-0.18,,,,,,,,,,,,,
Left,P1,0,1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P1,0,1,136.29,N/A,-7.08,9.16,N/A,,,,,,,,,,,,,
Left,P1,0,1,119.79,2.00,N/A,0.27,-10.75,,,,,,,,,,,,,
Left,P1,0,1,117.30,3.74,N/A,0.62,-11.41,,,,,,,,,,,,,
Left,P1,0,1,118.13,4.04,N/A,N/A,-11.82,,,,,,,,,,,,,
Left,P1,0,1,119.06,4.61,N/A,N/A,-12.54,,,,,,,,,,,,,
Left,P1,0,2,111.54,N/A,-7.31,N/A,-11.18,,,,,,,,,,,,,
Left,P1,0,2,116.56,2.70,-10.12,N/A,-13.97,,,,,,,,,,,,,
Left,P1,0,2,114.65,N/A,-12.96,0.04,-12.87,,,,,,,,,,,,,
Left,P1,0,2,113.88,N/A,-13.38,N/A,-17.53,,,,,,,,,,,,,
Left,P1,0,2,116.66,N/A,-14.02,N/A,-19.65,,,,,,,,,,,,,
Left,P1,0,2,136.06,12.28,N/A,N/A,-16.52,,,,,,,,,,,,,
Left,P1,0,2,135.54,13.68,N/A,N/A,-15.21,,,,,,,,,,,,,
Left,P1,0,2,137.47,16.29,N/A,N/A,-16.00,,,,,,,,,,,,,
Left,P1,0,2,138.42,13.60,N/A,N/A,-19.06,,,,,,,,,,,,,
Left,P1,0,2,134.17,16.80,N/A,N/A,-13.24,,,,,,,,,,,,,
Left,P1,0,2,139.29,N/A,-6.96,0.12,-6.90,,,,,,,,,,,,,
Left,P1,0,2,139.81,N/A,-6.06,N/A,-9.62,,,,,,,,,,,,,
Left,P1,0,2,139.26,N/A,-7.45,N/A,-9.34,,,,,,,,,,,,,
Left,P1,0,2,138.44,N/A,-6.02,N/A,-12.00,,,,,,,,,,,,,
Left,P1,0,2,139.64,N/A,-6.33,N/A,-11.10,,,,,,,,,,,,,
Left,P1,0,2,152.67,12.37,N/A,N/A,-26.61,,,,,,,,,,,,,
Left,P1,0,2,153.00,10.91,N/A,N/A,-29.75,,,,,,,,,,,,,
Left,P1,0,2,153.44,11.27,N/A,N/A,-27.25,,,,,,,,,,,,,
Left,P1,0,2,151.82,10.49,N/A,N/A,-28.37,,,,,,,,,,,,,
Left,P1,0,2,153.17,11.12,N/A,N/A,-29.45,,,,,,,,,,,,,
Left,P1,0,2,117.50,9.54,N/A,N/A,-6.43,,,,,,,,,,,,,
Left,P1,0,2,115.93,10.01,N/A,3.17,-8.25,,,,,,,,,,,,,
Left,P1,0,2,119.33,11.48,N/A,1.30,-5.83,,,,,,,,,,,,,
Left,P1,0,2,114.81,11.79,N/A,N/A,-5.14,,,,,,,,,,,,,
Left,P1,0,2,118.41,11.08,N/A,0.82,-5.07,,,,,,,,,,,,,
Left,P1,0,2,146.17,N/A,-2.71,9.60,N/A,,,,,,,,,,,,,
Left,P1,0,2,145.71,N/A,-3.88,5.83,N/A,,,,,,,,,,,,,
Left,P1,0,2,145.47,N/A,-4.97,7.18,N/A,,,,,,,,,,,,,
Left,P1,0,2,145.24,N/A,-8.81,6.02,N/A,,,,,,,,,,,,,
Left,P1,0,2,142.40,N/A,-8.97,3.67,N/A,,,,,,,,,,,,,
Left,P1,0,2,108.83,N/A,-8.13,N/A,-12.03,,,,,,,,,,,,,
Left,P1,0,2,110.92,N/A,-9.51,N/A,-13.72,,,,,,,,,,,,,
Left,P1,0,2,109.58,N/A,-8.49,N/A,-11.12,,,,,,,,,,,,,
Left,P1,0,2,110.61,N/A,-8.90,N/A,-11.78,,,,,,,,,,,,,
Left,P1,0,2,115.04,1.38,-7.95,N/A,-17.68,,,,,,,,,,,,,
Left,P1,0,2,136.48,2.56,N/A,N/A,-9.95,,,,,,,,,,,,,
Left,P1,0,2,131.78,2.33,N/A,N/A,-8.48,,,,,,,,,,,,,
Left,P1,0,2,135.36,3.72,N/A,N/A,-8.91,,,,,,,,,,,,,
Left,P1,0,2,134.89,2.35,N/A,N/A,-8.53,,,,,,,,,,,,,
Left,P1,0,2,137.07,1.64,N/A,N/A,-5.99,,,,,,,,,,,,,
Left,P1,0,2,136.83,1.92,N/A,N/A,-7.87,,,,,,,,,,,,,
Left,P1,0,2,124.66,1.17,-2.28,N/A,-10.81,,,,,,,,,,,,,
Left,P1,0,2,120.66,3.81,N/A,N/A,-11.13,,,,,,,,,,,,,
Left,P1,0,2,120.63,4.91,N/A,N/A,-10.50,,,,,,,,,,,,,
Left,P1,0,2,119.47,4.25,N/A,N/A,-10.80,,,,,,,,,,,,,
Left,P1,0,2,120.23,4.32,N/A,N/A,-11.08,,,,,,,,,,,,,
Left,P1,0,3,128.50,2.16,-5.77,0.25,-8.78,,,,,,,,,,,,,
Left,P1,0,3,126.99,N/A,-5.82,N/A,-14.51,,,,,,,,,,,,,
Left,P1,0,3,124.00,N/A,-9.05,N/A,-18.66,,,,,,,,,,,,,
Left,P1,0,3,119.16,N/A,-7.70,N/A,-20.41,,,,,,,,,,,,,
Left,P1,0,3,117.17,N/A,-5.52,N/A,-19.56,,,,,,,,,,,,,
Left,P1,0,3,131.25,9.53,N/A,N/A,-12.64,,,,,,,,,,,,,
Left,P1,0,3,131.15,15.32,N/A,N/A,-10.99,,,,,,,,,,,,,
Left,P1,0,3,131.45,18.55,N/A,N/A,-11.57,,,,,,,,,,,,,
Left,P1,0,3,110.63,17.97,N/A,N/A,-11.67,,,,,,,,,,,,,
Left,P1,0,3,136.17,18.93,N/A,N/A,-11.94,,,,,,,,,,,,,
Left,P1,0,3,143.61,N/A,-6.90,N/A,-8.81,,,,,,,,,,,,,
Left,P1,0,3,145.00,N/A,-5.82,N/A,-11.93,,,,,,,,,,,,,
Left,P1,0,3,143.99,N/A,-6.60,N/A,-10.24,,,,,,,,,,,,,
Left,P1,0,3,144.30,N/A,-6.05,N/A,-9.65,,,,,,,,,,,,,
Left,P1,0,3,144.41,N/A,-6.11,0.96,-2.60,,,,,,,,,,,,,
Left,P1,0,3,160.73,13.50,N/A,N/A,-20.49,,,,,,,,,,,,,
Left,P1,0,3,161.28,11.99,N/A,N/A,-18.45,,,,,,,,,,,,,
Left,P1,0,3,161.07,10.46,N/A,N/A,-17.30,,,,,,,,,,,,,
Left,P1,0,3,161.02,11.07,N/A,N/A,-17.33,,,,,,,,,,,,,
Left,P1,0,3,160.27,11.45,N/A,N/A,-18.85,,,,,,,,,,,,,
Left,P1,0,3,115.13,10.92,N/A,N/A,-5.48,,,,,,,,,,,,,
Left,P1,0,3,114.09,12.42,N/A,0.06,-2.95,,,,,,,,,,,,,
Left,P1,0,3,116.38,10.39,N/A,1.25,-2.86,,,,,,,,,,,,,
Left,P1,0,3,116.99,12.76,N/A,0.35,-2.88,,,,,,,,,,,,,
Left,P1,0,3,115.54,12.74,N/A,N/A,-3.05,,,,,,,,,,,,,
Left,P1,0,3,153.61,1.28,-1.06,9.28,N/A,,,,,,,,,,,,,
Left,P1,0,3,150.73,3.90,-1.89,8.79,N/A,,,,,,,,,,,,,
Left,P1,0,3,152.54,0.71,-2.96,9.92,N/A,,,,,,,,,,,,,
Left,P1,0,3,152.77,N/A,-4.95,6.10,N/A,,,,,,,,,,,,,
Left,P1,0,3,152.75,0.65,-3.30,6.68,N/A,,,,,,,,,,,,,
Left,P1,0,3,107.71,N/A,-13.08,N/A,-11.67,,,,,,,,,,,,,
Left,P1,0,3,114.92,N/A,-8.79,N/A,-13.55,,,,,,,,,,,,,
Left,P1,0,3,109.93,N/A,-7.93,N/A,-13.70,,,,,,,,,,,,,
Left,P1,0,3,108.47,N/A,-10.41,N/A,-13.61,,,,,,,,,,,,,
Left,P1,0,3,106.73,N/A,-12.48,N/A,-13.44,,,,,,,,,,,,,
Left,P1,0,3,140.28,2.83,N/A,N/A,-3.12,,,,,,,,,,,,,
Left,P1,0,3,143.61,1.75,-1.49,0.41,-2.23,,,,,,,,,,,,,
Left,P1,0,3,144.15,0.80,-2.49,1.06,-0.65,,,,,,,,,,,,,
Left,P1,0,3,143.40,0.68,-2.02,1.49,-0.69,,,,,,,,,,,,,
Left,P1,0,3,144.70,3.69,-1.46,2.82,-1.38,,,,,,,,,,,,,
Left,P1,0,3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P1,0,3,123.28,0.09,-2.63,N/A,-10.94,,,,,,,,,,,,,
Left,P1,0,3,121.31,1.67,-0.81,N/A,-6.18,,,,,,,,,,,,,
Left,P1,0,3,122.01,1.45,-0.12,N/A,-7.90,,,,,,,,,,,,,
Left,P1,0,3,123.23,1.26,-0.64,N/A,-7.64,,,,,,,,,,,,,
Left,P1,0,3,120.87,0.39,-1.27,N/A,-7.48,,,,,,,,,,,,,
Left,P1,0,4,134.37,4.25,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P1,0,4,143.99,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P1,0,4,142.11,N/A,-5.10,4.22,-0.40,,,,,,,,,,,,,
Left,P1,0,4,141.85,N/A,-4.77,5.39,N/A,,,,,,,,,,,,,
Left,P1,0,4,133.64,1.42,-1.78,5.79,-3.21,,,,,,,,,,,,,
Left,P1,0,4,135.36,18.14,N/A,N/A,-8.42,,,,,,,,,,,,,
Left,P1,0,4,136.04,16.56,N/A,N/A,-7.11,,,,,,,,,,,,,
Left,P1,0,4,136.10,18.54,N/A,N/A,-9.13,,,,,,,,,,,,,
Left,P1,0,4,132.79,16.85,N/A,N/A,-5.88,,,,,,,,,,,,,
Left,P1,0,4,138.33,18.54,N/A,N/A,-10.04,,,,,,,,,,,,,
Left,P1,0,4,140.47,N/A,-4.29,N/A,-12.78,,,,,,,,,,,,,
Left,P1,0,4,140.70,N/A,-7.43,N/A,-8.41,,,,,,,,,,,,,
Left,P1,0,4,140.68,N/A,-7.97,N/A,-9.34,,,,,,,,,,,,,
Left,P1,0,4,140.09,N/A,-7.78,N/A,-6.11,,,,,,,,,,,,,
Left,P1,0,4,140.21,N/A,-8.90,N/A,-6.81,,,,,,,,,,,,,
Left,P1,0,4,153.07,14.98,N/A,N/A,-22.10,,,,,,,,,,,,,
Left,P1,0,4,154.37,13.39,N/A,N/A,-21.67,,,,,,,,,,,,,
Left,P1,0,4,154.99,13.26,N/A,N/A,-23.32,,,,,,,,,,,,,
Left,P1,0,4,154.03,13.58,N/A,N/A,-23.97,,,,,,,,,,,,,
Left,P1,0,4,154.06,14.49,N/A,N/A,-26.16,,,,,,,,,,,,,
Left,P1,0,4,114.38,17.18,N/A,1.83,-5.07,,,,,,,,,,,,,
Left,P1,0,4,116.92,16.90,N/A,2.07,-4.18,,,,,,,,,,,,,
Left,P1,0,4,119.77,14.75,N/A,3.90,-1.51,,,,,,,,,,,,,
Left,P1,0,4,120.49,14.82,N/A,3.51,-2.14,,,,,,,,,,,,,
Left,P1,0,4,118.98,14.04,N/A,4.10,-1.12,,,,,,,,,,,,,
Left,P1,0,4,142.89,N/A,-5.52,4.04,-0.45,,,,,,,,,,,,,
Left,P1,0,4,143.47,0.19,-1.75,3.03,-0.95,,,,,,,,,,,,,
Left,P1,0,4,142.56,N/A,-1.51,4.40,-0.34,,,,,,,,,,,,,
Left,P1,0,4,142.87,N/A,-3.81,0.01,-0.94,,,,,,,,,,,,,
Left,P1,0,4,143.17,N/A,-4.35,0.46,-0.96,,,,,,,,,,,,,
Left,P1,0,4,116.52,N/A,-7.03,1.00,-9.23,,,,,,,,,,,,,
Left,P1,0,4,121.93,N/A,-5.54,N/A,-10.17,,,,,,,,,,,,,
Left,P1,0,4,121.19,N/A,-4.46,3.12,-6.87,,,,,,,,,,,,,
Left,P1,0,4,120.59,N/A,-6.17,4.02,-8.11,,,,,,,,,,,,,
Left,P1,0,4,122.36,N/A,-5.61,3.36,-9.50,,,,,,,,,,,,,
Left,P1,0,4,136.46,4.02,N/A,1.71,-5.65,,,,,,,,,,,,,
Left,P1,0,4,136.45,2.31,N/A,1.31,-5.02,,,,,,,,,,,,,
Left,P1,0,4,136.58,1.90,-0.50,0.18,-5.31,,,,,,,,,,,,,
Left,P1,0,4,137.56,1.09,-0.31,N/A,-5.29,,,,,,,,,,,,,
Left,P1,0,4,137.12,0.90,-0.60,N/A,-4.12,,,,,,,,,,,,,
Left,P1,0,4,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P1,0,4,130.62,N/A,-2.86,N/A,-6.80,,,,,,,,,,,,,
Left,P1,0,4,130.74,N/A,-1.79,N/A,-8.07,,,,,,,,,,,,,
Left,P1,0,4,130.65,0.28,-0.50,N/A,-8.77,,,,,,,,,,,,,
Left,P1,0,4,130.78,N/A,-2.08,N/A,-10.69,,,,,,,,,,,,,
Left,P1,0,4,130.60,N/A,-0.98,N/A,-10.37,,,,,,,,,,,,,
Left,P1,15,1,149.38,N/A,-6.30,7.03,N/A,,,,,,,,,,,,,
Left,P1,15,1,139.17,N/A,-7.97,2.56,-0.86,,,,,,,,,,,,,
Left,P1,15,1,142.68,0.02,-1.71,N/A,-9.81,,,,,,,,,,,,,
Left,P1,15,1,144.99,0.08,-2.90,N/A,-8.19,,,,,,,,,,,,,
Left,P1,15,1,146.95,N/A,-5.78,7.48,N/A,,,,,,,,,,,,,
Left,P1,15,1,124.77,13.60,N/A,N/A,-7.46,,,,,,,,,,,,,
Left,P1,15,1,126.79,16.27,N/A,N/A,-8.93,,,,,,,,,,,,,
Left,P1,15,1,126.05,14.75,N/A,N/A,-7.79,,,,,,,,,,,,,
Left,P1,15,1,121.90,16.24,N/A,N/A,-5.48,,,,,,,,,,,,,
Left,P1,15,1,123.57,18.26,N/A,N/A,-6.14,,,,,,,,,,,,,
Left,P1,15,1,136.61,0.52,-1.42,N/A,-8.78,,,,,,,,,,,,,
Left,P1,15,1,138.90,N/A,-1.64,0.74,-7.81,,,,,,,,,,,,,
Left,P1,15,1,139.13,N/A,-2.79,0.16,-6.41,,,,,,,,,,,,,
Left,P1,15,1,138.20,N/A,-3.97,N/A,-7.91,,,,,,,,,,,,,
Left,P1,15,1,137.80,N/A,-4.44,N/A,-6.63,,,,,,,,,,,,,
Left,P1,15,1,152.44,7.98,N/A,N/A,-13.41,,,,,,,,,,,,,
Left,P1,15,1,152.43,9.02,N/A,N/A,-18.95,,,,,,,,,,,,,
Left,P1,15,1,152.11,8.96,N/A,N/A,-21.17,,,,,,,,,,,,,
Left,P1,15,1,151.90,8.67,N/A,N/A,-21.01,,,,,,,,,,,,,
Left,P1,15,1,151.69,8.39,N/A,N/A,-20.06,,,,,,,,,,,,,
Left,P1,15,1,103.01,21.30,N/A,4.05,N/A,,,,,,,,,,,,,
Left,P1,15,1,99.53,21.34,N/A,5.66,N/A,,,,,,,,,,,,,
Left,P1,15,1,102.77,21.28,N/A,8.77,N/A,,,,,,,,,,,,,
Left,P1,15,1,102.42,21.52,N/A,7.91,N/A,,,,,,,,,,,,,
Left,P1,15,1,102.88,22.38,N/A,7.45,N/A,,,,,,,,,,,,,
Left,P1,15,1,148.90,1.08,-1.33,17.26,N/A,,,,,,,,,,,,,
Left,P1,15,1,150.99,1.72,N/A,16.69,N/A,,,,,,,,,,,,,
Left,P1,15,1,150.46,0.93,-0.96,25.51,N/A,,,,,,,,,,,,,
Left,P1,15,1,148.84,N/A,-3.52,18.04,N/A,,,,,,,,,,,,,
Left,P1,15,1,150.61,1.48,N/A,21.53,N/A,,,,,,,,,,,,,
Left,P1,15,1,105.66,N/A,-4.49,4.02,-0.87,,,,,,,,,,,,,
Left,P1,15,1,109.91,2.67,-1.59,6.29,-2.63,,,,,,,,,,,,,
Left,P1,15,1,105.29,0.57,-6.07,1.70,-3.25,,,,,,,,,,,,,
Left,P1,15,1,103.95,6.54,-2.90,6.88,-1.32,,,,,,,,,,,,,
Left,P1,15,1,105.56,5.54,-2.88,5.90,-0.60,,,,,,,,,,,,,
Left,P1,15,1,145.89,0.76,-0.36,6.36,N/A,,,,,,,,,,,,,
Left,P1,15,1,144.66,0.83,-0.40,10.11,N/A,,,,,,,,,,,,,
Left,P1,15,1,146.78,N/A,-1.11,8.19,N/A,,,,,,,,,,,,,
Left,P1,15,1,143.38,1.93,N/A,11.24,N/A,,,,,,,,,,,,,
Left,P1,15,1,143.22,0.62,N/A,15.08,N/A,,,,,,,,,,,,,
Left,P1,15,1,138.92,N/A,-3.21,15.29,N/A,,,,,,,,,,,,,
Left,P1,15,1,139.76,N/A,-2.90,16.60,N/A,,,,,,,,,,,,,
Left,P1,15,1,139.81,N/A,-2.43,17.22,N/A,,,,,,,,,,,,,
Left,P1,15,1,140.81,N/A,-3.34,18.87,N/A,,,,,,,,,,,,,
Left,P1,15,1,140.76,N/A,-3.60,18.33,N/A,,,,,,,,,,,,,
Left,P1,15,2,144.06,N/A,-10.35,4.16,-0.45,,,,,,,,,,,,,
Left,P1,15,2,144.98,N/A,-5.53,2.63,N/A,,,,,,,,,,,,,
Left,P1,15,2,149.24,N/A,-9.58,3.64,-2.61,,,,,,,,,,,,,
Left,P1,15,2,149.03,N/A,-9.17,8.24,N/A,,,,,,,,,,,,,
Left,P1,15,2,147.99,N/A,-8.60,7.08,N/A,,,,,,,,,,,,,
Left,P1,15,2,109.96,12.50,N/A,N/A,-5.79,,,,,,,,,,,,,
Left,P1,15,2,117.08,14.66,N/A,N/A,-4.60,,,,,,,,,,,,,
Left,P1,15,2,110.49,17.11,N/A,N/A,-4.10,,,,,,,,,,,,,
Left,P1,15,2,112.08,16.41,N/A,N/A,-3.02,,,,,,,,,,,,,
Left,P1,15,2,121.69,16.94,N/A,N/A,-5.40,,,,,,,,,,,,,
Left,P1,15,2,134.37,N/A,-3.56,N/A,-11.47,,,,,,,,,,,,,
Left,P1,15,2,135.93,N/A,-5.49,N/A,-14.47,,,,,,,,,,,,,
Left,P1,15,2,136.33,N/A,-5.78,N/A,-9.35,,,,,,,,,,,,,
Left,P1,15,2,136.05,N/A,-5.77,N/A,-14.21,,,,,,,,,,,,,
Left,P1,15,2,136.06,N/A,-5.07,N/A,-9.00,,,,,,,,,,,,,
Left,P1,15,2,147.32,5.70,N/A,N/A,-21.91,,,,,,,,,,,,,
Left,P1,15,2,146.35,4.95,N/A,N/A,-26.84,,,,,,,,,,,,,
Left,P1,15,2,147.37,8.07,N/A,N/A,-31.23,,,,,,,,,,,,,
Left,P1,15,2,147.59,7.18,N/A,N/A,-26.98,,,,,,,,,,,,,
Left,P1,15,2,146.41,2.82,N/A,N/A,-21.19,,,,,,,,,,,,,
Left,P1,15,2,95.09,14.08,N/A,3.41,-0.65,,,,,,,,,,,,,
Left,P1,15,2,97.76,12.71,N/A,2.58,N/A,,,,,,,,,,,,,
Left,P1,15,2,97.44,13.83,N/A,5.24,N/A,,,,,,,,,,,,,
Left,P1,15,2,94.01,15.12,N/A,7.74,N/A,,,,,,,,,,,,,
Left,P1,15,2,100.08,18.11,N/A,4.80,N/A,,,,,,,,,,,,,
Left,P1,15,2,139.43,N/A,-8.34,13.14,N/A,,,,,,,,,,,,,
Left,P1,15,2,140.15,N/A,-10.98,9.80,N/A,,,,,,,,,,,,,
Left,P1,15,2,139.45,N/A,-10.07,8.61,N/A,,,,,,,,,,,,,
Left,P1,15,2,138.86,N/A,-13.19,26.54,N/A,,,,,,,,,,,,,
Left,P1,15,2,142.36,N/A,-10.39,8.23,N/A,,,,,,,,,,,,,
Left,P1,15,2,103.36,N/A,-6.75,N/A,-8.45,,,,,,,,,,,,,
Left,P1,15,2,94.86,0.32,-4.99,N/A,-18.49,,,,,,,,,,,,,
Left,P1,15,2,91.68,N/A,-10.36,N/A,-14.36,,,,,,,,,,,,,
Left,P1,15,2,97.22,N/A,-13.41,N/A,-21.22,,,,,,,,,,,,,
Left,P1,15,2,93.05,N/A,-13.27,N/A,-22.49,,,,,,,,,,,,,
Left,P1,15,2,141.38,0.15,-1.69,N/A,-3.43,,,,,,,,,,,,,
Left,P1,15,2,141.27,N/A,-1.84,N/A,-4.11,,,,,,,,,,,,,
Left,P1,15,2,141.56,N/A,-4.01,0.83,-0.87,,,,,,,,,,,,,
Left,P1,15,2,141.28,N/A,-3.41,3.41,N/A,,,,,,,,,,,,,
Left,P1,15,2,141.96,N/A,-2.67,2.42,N/A,,,,,,,,,,,,,
Left,P1,15,2,109.75,3.19,N/A,N/A,-4.20,,,,,,,,,,,,,
Left,P1,15,2,103.49,4.37,-1.45,N/A,-8.90,,,,,,,,,,,,,
Left,P1,15,2,101.07,5.33,N/A,N/A,-9.15,,,,,,,,,,,,,
Left,P1,15,2,105.29,4.28,-1.25,N/A,-8.86,,,,,,,,,,,,,
Left,P1,15,2,106.71,4.40,-1.75,N/A,-5.61,,,,,,,,,,,,,
Left,P1,15,3,118.23,2.65,-0.13,N/A,-14.72,,,,,,,,,,,,,
Left,P1,15,3,112.83,1.92,-6.07,N/A,-16.57,,,,,,,,,,,,,
Left,P1,15,3,114.11,1.51,-0.58,N/A,-10.01,,,,,,,,,,,,,
Left,P1,15,3,106.80,N/A,-6.26,N/A,-9.76,,,,,,,,,,,,,
Left,P1,15,3,120.63,N/A,-6.06,N/A,-13.35,,,,,,,,,,,,,
Left,P1,15,3,105.70,11.65,N/A,N/A,-10.84,,,,,,,,,,,,,
Left,P1,15,3,107.20,11.42,N/A,N/A,-7.56,,,,,,,,,,,,,
Left,P1,15,3,108.29,12.16,N/A,N/A,-8.49,,,,,,,,,,,,,
Left,P1,15,3,112.35,14.76,N/A,N/A,-7.86,,,,,,,,,,,,,
Left,P1,15,3,107.66,14.19,N/A,N/A,-6.51,,,,,,,,,,,,,
Left,P1,15,3,138.55,N/A,-2.59,N/A,-8.19,,,,,,,,,,,,,
Left,P1,15,3,140.15,N/A,-3.94,N/A,-8.94,,,,,,,,,,,,,
Left,P1,15,3,139.78,N/A,-3.82,N/A,-10.25,,,,,,,,,,,,,
Left,P1,15,3,136.97,N/A,-4.47,N/A,-7.60,,,,,,,,,,,,,
Left,P1,15,3,138.65,N/A,-4.34,N/A,-9.26,,,,,,,,,,,,,
Left,P1,15,3,157.70,11.34,N/A,N/A,-23.78,,,,,,,,,,,,,
Left,P1,15,3,143.70,7.70,N/A,N/A,-21.74,,,,,,,,,,,,,
Left,P1,15,3,149.19,5.01,N/A,N/A,-11.30,,,,,,,,,,,,,
Left,P1,15,3,147.86,6.47,N/A,N/A,-21.28,,,,,,,,,,,,,
Left,P1,15,3,148.65,4.08,N/A,N/A,-10.38,,,,,,,,,,,,,
Left,P1,15,3,94.08,16.01,N/A,5.85,N/A,,,,,,,,,,,,,
Left,P1,15,3,101.72,15.42,N/A,4.88,N/A,,,,,,,,,,,,,
Left,P1,15,3,98.42,13.38,N/A,4.63,N/A,,,,,,,,,,,,,
Left,P1,15,3,96.46,16.33,N/A,3.31,N/A,,,,,,,,,,,,,
Left,P1,15,3,98.92,14.51,N/A,4.90,N/A,,,,,,,,,,,,,
Left,P1,15,3,114.89,N/A,-6.63,N/A,-5.95,,,,,,,,,,,,,
Left,P1,15,3,124.22,N/A,-4.84,0.91,-2.46,,,,,,,,,,,,,
Left,P1,15,3,112.96,2.60,-1.40,1.54,-2.11,,,,,,,,,,,,,
Left,P1,15,3,113.85,4.98,N/A,N/A,-4.01,,,,,,,,,,,,,
Left,P1,15,3,148.64,N/A,-2.26,15.80,N/A,,,,,,,,,,,,,
Left,P1,15,3,93.60,N/A,-9.91,0.57,-7.96,,,,,,,,,,,,,
Left,P1,15,3,94.56,1.82,-5.58,N/A,-17.20,,,,,,,,,,,,,
Left,P1,15,3,106.14,N/A,-3.72,N/A,-11.79,,,,,,,,,,,,,
Left,P1,15,3,107.52,2.49,-5.70,N/A,-7.36,,,,,,,,,,,,,
Left,P1,15,3,112.38,1.21,-3.21,0.35,-5.03,,,,,,,,,,,,,
Left,P1,15,3,135.45,3.48,N/A,1.56,-0.10,,,,,,,,,,,,,
Left,P1,15,3,143.73,0.09,-0.55,6.68,N/A,,,,,,,,,,,,,
Left,P1,15,3,145.11,N/A,-2.04,8.49,N/A,,,,,,,,,,,,,
